1	Afghanistan	38,928,346	652,860	60
2	Albania	2,877,797	27,400	105
3	Algeria	43,851,044	2,381,740	18
4	Andorra	77,265	470	164
5	Angola	32,866,272	1,246,700	26
6	Antigua and Barbuda	97,929	440	223
7	Argentina	45,195,774	2,736,690	17
8	Armenia	2,963,243	28,470	104
9	Australia	25,499,884	7,682,300	3
10	Austria	9,006,398	82,409	109
11	Azerbaijan	10,139,177	82,658	123
12	Bahamas	393,244	10,010	39
13	Bahrain	1,701,575	760	2,239
14	Bangladesh	164,689,383	130,170	1,265
15	Barbados	287,375	430	668
16	Belarus	9,449,323	202,910	47
17	Belgium	11,589,623	30,280	383
18	Belize	397,628	22,810	17
19	Benin	12,123,200	112,760	108
20	Bhutan	771,608	38,117	20
21	Bolivia	11,673,021	1,083,300	11
22	Bosnia and Herzegovina	3,280,819	51,000	64
23	Botswana	2,351,627	566,730	4
24	Brazil	212,559,417	8,358,140	25
25	Brunei	437,479	5,270	83
26	Bulgaria	6,948,445	108,560	64
27	Burkina Faso	20,903,273	273,600	76
28	Burundi	11,890,784	25,680	463
